ResponseId,age,sex,race,V1-1AC,V1-2AC,V1-3AC,V1-4AC,AC,Version,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_24c8TVbQmIpr4J9,18,2,1,3,2,1,4,1,1,2,4,2,4,4,4,1,2,1,4,3,1,1,1,4,2,2,2,2,1,3,3,4,3,3
R_24IarxA1LCOFlNk,18,1,5,4,3,2,1,1,2,3,1,4,3,3,3,2,2,1,2,2,4,2,1,1,1,1,4,4,2,1,4,2,1,2
R_25FoLcA3Oa31Rer,19,2,2,1,4,3,2,1,2,4,2,1,2,2,2,2,3,3,2,3,3,1,1,4,4,1,4,4,3,1,1,1,4,1
R_25H06EINsSEGykh,18,2,1,1,4,3,2,1,2,4,4,2,2,2,1,2,2,3,3,1,1,3,4,3,1,3,4,4,1,3,1,4,3,2
R_25S0vtiR9qDD8Uh,20,2,2,1,4,3,2,1,2,4,1,2,4,3,3,4,3,4,3,3,2,1,1,3,3,4,2,3,1,1,1,2,1,1
R_2AGetRxNkumy28y,19,1,5,1,4,3,2,1,2,4,2,4,4,1,3,4,1,2,3,3,1,4,3,2,3,4,1,4,2,3,1,2,2,1
R_2c6NNybKQwbgZSj,20,2,5,1,4,3,2,1,2,4,3,3,1,2,2,1,1,3,2,1,3,2,1,4,2,2,3,4,1,1,2,3,1,1
R_2CQzrejqW7zUibw,18,2,2,1,4,3,2,1,2,4,3,2,3,2,2,2,3,3,4,2,4,3,3,1,1,3,1,4,3,2,2,1,1,1
R_2dRxNRvLQRNoE4g,18,2,7,1,4,3,2,1,2,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,3
R_2DUImuaDgcdDD9z,21,2,6,3,2,1,4,1,1,2,4,4,4,4,4,3,1,1,1,1,1,1,2,2,4,3,2,3,3,3,4,3,3,3
R_2EgvTu81m7pJziQ,19,2,2,2,1,4,3,1,1,1,1,1,1,1,1,1,4,2,4,2,2,2,3,3,3,3,3,3,2,4,3,4,4,4
R_2f98gcul69oAcuA,19,2,6,2,1,4,3,1,1,1,4,1,1,2,4,3,3,1,4,4,1,2,1,4,1,3,4,2,2,2,1,3,3,1
R_2fqYHnLApuqVkc6,18,2,1,3,2,1,4,1,1,2,4,3,2,4,4,4,1,4,3,3,3,1,1,2,2,3,1,2,3,1,4,3,3,3
R_2PnzsXy7O4olQi1,19,2,6,3,2,1,4,1,1,2,3,1,3,3,4,1,1,3,4,1,1,1,2,2,4,2,4,2,4,1,4,3,3,3
R_2rNtO016De8C37Z,21,1,1,4,3,2,1,1,2,3,4,2,4,4,4,4,2,3,4,3,2,3,1,2,1,1,1,1,4,2,4,2,2,2
R_2TIhyG8mn2STUh4,19,2,2,2,1,4,3,1,1,1,3,3,1,1,2,1,2,2,2,3,2,3,4,4,4,3,4,4,3,4,3,3,1,4
R_2tlo9vUbW5c1bJx,20,2,6,2,1,4,3,1,1,1,1,2,1,2,1,1,4,3,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4
R_2tmL5X6ZbQQXXys,19,2,4,3,2,1,4,1,1,2,4,4,4,3,4,2,1,2,2,1,1,1,1,1,2,1,2,1,2,3,3,3,3,2
R_2TNKAyZZI5n7nWd,18,2,7,2,1,4,3,1,1,1,1,4,1,1,1,1,2,1,2,2,2,2,3,3,3,3,1,3,4,2,4,4,4,4
R_2Vz0Q5TTRQigZm2,19,2,2,3,2,1,4,1,1,2,4,3,4,4,4,4,3,2,1,1,1,1,3,2,4,2,4,1,3,1,3,3,3,3
R_2wN4Dimvm4VIMAb,19,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,2,2,2,4,4,2,3,3,2,3,3,1,4,4,4,4,4,4
R_2xFNPkHVnKg6iLo,19,2,1,3,2,1,4,1,1,2,4,4,4,3,4,4,1,3,3,1,3,1,3,2,4,2,2,2,3,3,3,3,3,3
R_2YtUlne8WfYYe2M,18,2,5,1,4,3,2,1,2,4,1,2,2,1,4,2,1,3,2,3,1,2,1,4,4,3,3,2,3,3,2,1,3,1
R_2zGR5sUs438tvVs,19,2,1,1,4,3,2,1,2,4,2,2,2,2,2,3,3,3,3,3,2,3,4,2,4,4,4,4,1,1,1,1,1,1
R_2zpPHMHHDim2Ecx,21,1,1,1,4,3,2,1,2,4,4,3,3,2,3,2,2,2,1,2,2,2,4,3,4,4,3,1,2,4,1,3,3,1
R_31Gl1Dlp85BBvAf,19,2,4,3,2,1,4,1,1,2,4,4,3,4,4,2,1,4,2,2,4,2,4,2,1,2,2,1,3,3,3,1,1,3
R_31j6I2y4tCODKYE,20,1,6,3,2,1,4,1,1,2,2,4,2,2,2,2,2,2,3,1,3,1,1,4,2,3,4,1,2,1,4,3,4,2
R_31YEGGbx3DlARBU,19,2,6,4,3,2,1,1,2,3,3,4,3,3,3,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2
R_31zlzxVATh1TpZ4,19,1,5,3,2,1,4,1,1,2,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3
R_3G0wBnLavlQaeFl,19,2,2,2,1,4,3,1,1,1,3,1,3,1,1,1,2,2,2,3,2,3,3,3,4,3,1,1,1,4,1,4,4,3
R_3hE1ycFD15RzmAK,19,1,1,1,4,3,2,1,2,4,2,3,2,2,2,3,3,3,2,3,2,2,4,4,4,4,4,4,1,1,4,1,1,1
R_3HTSqcT4pqUtzrp,21,2,2,2,1,4,3,1,1,1,1,2,2,2,2,4,4,4,4,4,1,2,3,3,3,3,2,4,2,1,2,4,2,4
R_3Icu6mAjwrlcqKH,19,2,4,2,1,4,3,1,1,1,1,1,1,1,1,1,4,4,1,1,2,2,3,3,2,2,3,2,1,4,4,4,4,4
R_3irLxLWLqRscagJ,18,2,1,2,1,4,3,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,3,3,2,3,3,3,4,4,4,4,4,4
R_3j8SEcbjyxndOJx,19,2,7,4,3,2,1,1,2,3,4,2,3,3,4,3,1,1,4,4,4,1,4,2,1,4,4,4,4,4,1,4,2,2
R_3kB8hpENOvp1K84,18,2,2,3,2,1,4,1,1,2,2,2,2,3,3,4,1,2,1,4,4,1,2,1,2,4,2,4,1,2,3,3,3,4
R_3kBsqrTrpnTTgL9,19,2,1,4,3,2,1,1,2,3,2,2,2,2,3,3,4,4,4,4,4,4,1,1,3,2,1,1,2,2,3,3,2,2
R_3kodTCEPwuWZVoU,20,1,2,1,4,3,2,1,2,4,3,3,3,2,1,4,3,1,1,1,2,1,4,1,4,4,4,3,3,3,3,1,3,2
R_3lz78EbUjcj47Ee,19,1,1,1,4,3,2,1,2,4,1,1,3,2,2,2,3,3,3,1,3,1,4,3,4,4,4,4,1,3,4,1,3,1
R_3MGrf8RDD1SEkRD,18,1,2,2,1,4,3,1,1,1,3,2,3,2,3,3,1,1,1,1,2,3,2,2,4,4,4,4,4,2,3,4,4,4
R_3nAB42dEkGHiY0o,18,1,4,2,1,4,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,1,4,4
R_3nfqxxQ4AjQ2y6c,21,1,6,1,4,3,2,1,2,4,2,4,2,2,2,4,2,3,3,3,3,1,1,4,4,4,4,4,1,1,2,1,1,1
R_3NzjqqLIJdB7g0O,21,1,1,4,3,2,1,1,2,3,3,3,3,3,3,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2
R_3OcxUPpfsmwak8j,25,2,2,1,4,3,2,1,2,4,2,2,2,2,2,2,1,3,1,3,3,3,4,4,4,1,4,1,2,1,2,1,1,1
R_3OepVW8cZZ3U4k9,18,2,1,4,3,2,1,1,2,3,3,1,1,3,3,1,4,4,1,4,4,1,2,2,2,2,2,1,1,4,2,1,1,1
R_3phgiILVogYJIby,18,2,6,2,1,4,3,1,1,1,2,1,1,1,1,1,3,2,2,2,2,3,4,2,4,3,3,3,4,4,4,4,4,4
R_3plQ8ssV3dU3xh0,23,1,5,2,1,4,3,1,1,1,3,1,1,2,1,2,3,1,1,4,1,4,3,2,2,2,2,3,4,4,4,4,4,4
R_3Pn7XD0rr1aIQ8z,19,2,3,4,3,2,1,1,2,3,3,2,1,3,3,1,4,4,1,4,2,3,4,3,1,3,1,1,3,2,2,2,4,2
R_3PvOhaNKk2VQAgz,28,2,7,3,2,1,4,1,1,2,4,1,4,4,4,4,1,1,2,1,1,1,3,2,2,2,2,2,3,1,3,3,3,3
R_3qdIojxTc3M789C,19,1,1,2,1,4,3,1,1,1,1,1,1,1,1,1,2,2,2,3,2,1,3,3,1,3,3,3,4,4,1,4,4,4
R_3QKJ4Rju4qImZd7,21,1,1,4,3,2,1,1,2,3,1,1,4,4,3,1,4,1,1,4,3,4,3,2,3,2,2,1,3,3,2,4,2,2
R_3RbAgOXEX8IfLj3,18,2,7,4,3,2,1,1,2,3,2,1,1,2,3,2,4,4,2,3,4,3,1,1,3,1,3,2,3,1,2,1,4,2
R_55aVuhmVk7NFF9D,18,2,1,4,3,2,1,1,2,3,1,3,3,1,1,1,3,4,1,3,3,1,2,3,2,3,4,2,1,2,4,4,3,3
R_5zF90eZ5gs7LhK1,18,2,1,1,4,3,2,1,2,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1
R_9U2qZHIOGmOknUR,21,2,6,3,2,1,4,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,2,2,2
R_9Xk2lpmyrNWiFFv,18,2,1,1,4,3,2,1,2,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1
R_BKgR38aCdQY8gbT,31,1,2,2,1,1,3,0.75,1,1,2,1,1,3,2,3,3,1,1,3,2,2,3,3,2,3,2,2,1,1,2,1,1,1
R_cPjlcX1NMUzyuhH,18,1,5,4,3,2,1,1,2,3,3,4,3,3,1,3,1,4,1,1,4,1,1,2,4,4,4,4,2,4,3,2,2,1
R_DcOm3DFfPYmxP21,18,2,1,2,1,4,3,1,1,1,3,1,1,2,1,2,4,2,3,1,3,3,4,2,3,2,2,1,1,4,3,2,1,4
R_DDjwSaLJ7TVRKut,18,1,5,4,3,2,1,1,2,3,3,3,4,4,4,3,4,1,3,2,4,3,2,1,1,4,2,1,2,4,2,2,2,4
R_DNcFctZp53dExNf,22,2,7,4,3,2,1,1,2,3,4,2,4,4,4,2,1,3,4,2,2,4,2,4,4,1,2,3,2,3,3,1,3,4
R_eD3LDMr25OiM9Ud,18,2,4,4,3,2,1,1,2,3,3,1,3,3,3,3,4,4,4,4,4,4,2,1,1,1,1,1,2,4,2,2,2,2
R_eRGj1eiV5fmKC41,18,2,5,2,1,4,3,1,1,1,1,1,1,1,3,1,2,2,4,3,2,4,3,1,3,3,3,3,4,3,4,1,4,4
R_OCKAxIiCsA5OB2h,19,2,2,4,3,2,1,1,2,3,2,3,1,1,3,3,2,4,3,3,4,4,2,1,1,2,4,2,2,3,2,1,1,2
R_pGBGilSwsXX1yDv,19,2,6,3,2,1,4,1,1,2,1,1,1,1,1,1,4,4,3,4,4,4,2,2,2,2,2,2,3,3,3,3,3,3
R_pKHiufTuTdEwVIR,18,2,6,1,4,3,2,1,2,4,2,2,1,2,2,2,3,1,3,4,2,3,1,1,1,1,4,4,2,1,2,4,3,1
R_Q4a7bAXTwOhLGoh,20,2,1,1,4,3,2,1,2,4,2,4,4,4,3,1,1,4,3,4,2,3,1,3,3,1,2,2,2,1,2,1,1,2
R_r7wyP2XxiAH5uwx,20,2,2,2,1,4,3,1,1,1,2,2,1,1,1,2,4,3,2,2,2,4,3,3,1,3,1,1,4,3,1,4,4,4
R_reB72hBfdHJF41H,20,2,1,2,1,4,3,1,1,1,4,4,1,4,4,4,2,2,1,1,2,1,3,3,4,1,3,4,4,2,4,1,1,4
R_RPpFIwC8vROCQqR,18,2,3,3,2,1,4,1,1,2,3,4,4,3,4,4,3,3,3,1,4,3,1,1,2,2,3,2,1,1,1,3,1,3
R_SItahSx6xwM8JUt,19,1,6,1,4,3,2,1,2,4,2,2,2,2,2,2,1,1,3,3,1,3,3,2,3,4,4,4,1,1,1,1,1,1
R_sMQW6XeXuhiols5,18,2,5,4,3,2,1,1,2,3,1,1,1,1,1,3,4,4,3,4,4,3,2,2,2,2,3,2,3,3,1,3,3,3
R_ugjDPwhD5OF8y09,19,1,1,3,2,1,4,1,1,2,3,1,2,2,1,2,3,3,3,1,2,1,1,2,2,3,4,4,1,3,2,1,1,1
R_ulcDyxaP2e6Mhcl,19,2,6,2,1,4,3,1,1,1,1,2,1,1,1,2,3,2,3,1,2,3,3,3,2,3,3,2,4,2,1,4,4,4
R_vCFo0tY1VU3Byxj,18,2,2,4,3,2,1,1,2,3,4,4,4,4,4,2,3,3,3,3,3,2,1,1,4,1,1,1,4,4,1,2,4,2
R_vqrlztPESO6QMaR,20,2,6,1,4,3,2,1,2,4,2,3,3,2,2,4,3,3,3,1,3,3,1,2,4,1,2,1,4,1,1,1,3,3
R_vYSKejJfdxTXh7P,19,1,4,2,1,4,3,1,1,1,4,2,4,1,3,3,4,3,1,3,2,3,2,3,4,2,1,1,1,2,4,2,2,4
R_w6Lqob5G4OiegYF,29,1,1,3,2,1,4,1,1,2,4,4,3,4,4,4,2,2,2,2,2,2,2,4,4,2,3,1,4,3,3,3,1,3
R_x0pxhO88JT9sZGN,18,2,1,4,3,2,1,1,2,3,3,3,1,3,3,3,4,4,3,4,4,4,1,1,1,1,1,3,2,2,2,2,2,2
R_Z3Q1xUvkKtoLWmZ,20,2,2,4,3,2,1,1,2,3,3,3,3,1,2,1,3,2,1,3,4,4,1,4,4,2,1,1,2,2,3,4,2,2
R_ZDKg7zVapXSOV7r,18,2,2,4,3,2,1,1,2,3,3,3,2,3,3,3,4,2,4,4,4,4,1,1,1,1,1,1,2,2,2,2,4,4
R_ZsIeltmpBlrXk8F,18,2,1,4,3,2,1,1,2,3,4,2,3,4,4,3,3,3,4,3,3,1,2,3,3,1,1,4,2,2,2,2,2,2
R_zYiVVBLQw3BTnjP,18,2,1,3,2,1,4,1,1,2,3,4,4,4,3,3,1,1,1,1,3,1,2,2,2,1,1,3,1,1,4,3,3,3
